id;stage;component_file;function_or_ui;category;activation_condition;user_triggers_that_rebuild;behavior_description;current_formula_or_logic;key_constants;physical_inputs;outputs;surfaces_affected;conservation_renormalization;visual_range_legend;cooling_mode_deps;heating_ventilation_deps;equipment_sizing_deps;data_source;evolution_when_user_changes_input;known_issues;fix_priority;recommended_fix
SYS-00;architecture;docs/HEATMAP_AUDIT.csv;whole_system;meta;Always when heatmap enabled;Any store field in heatmapInputRevision + climate sliders;Master audit of current heatmap behavior as implemented Sep 2026. Use this CSV to plan fixes.;N/A;Coordinates: origin=center +X=east(exhaust) +Z=south -X=west(pad);All greenhouse + equipment state;5 visible surfaces (floor+4 walls);N/A;N/A;cooling!=none required since d93c624;All modes;All sizing;FE preview only for 3D;Every slider change triggers full synchronous rebuild;FE and BE use different physics and grids;P0;Treat as living spec — update row fix_status when resolved
SYS-01;architecture;frontend/src/lib/previewMicroclimate.ts;resolveHeatmapField;orchestration;cooling!=none AND heatmapMode!=off;dimensions structure equipment crop covering shading scenario simulationResults;Top-level entry: always builds heatmap from preview solver never from WS matrix values.;estimatePreviewMicroclimate -> buildHeatmapFieldContext -> generateVisibleSurfaceHeatmaps;isLive=true only if simulationResults.heatmap_matrix non-empty AND status connected;All store climate fields;{ctx surfaces internalRh isLive preview};all visible;N/A;Legend uses floor surface only;All active cooling modes;All;All sizing counts;FE preview (primary);Immediate full recompute on any revision input — no debounce no WS round-trip;heatmap_matrix from backend is ignored for 3D overlay;P0;Either consume BE matrix or remove isLive misleading badge
SYS-02;architecture;backend/app/simulation/thermal.py;_generate_heatmap;backend_floor_only;WS simulation running;WS UPDATE_SIMULATION payload;Backend generates coarse floor-only temperature matrix sent via heatmap_matrix.;Radial solar+edge baseline; pad transit along X; fan/vent/ac/fog modifiers; HAF mix; temp floors;rows=max(int(L/2),4) cols=max(int(W/2),4);geometry equipment cooling heating scenario qSolar baseTemp;list[list[float]] temperature floor only;floor only (not rendered in 3D);No explicit mean conservation;N/A (not used in shader);All cooling modes;Heating boost if setpoint-base>0.5;exhaust/roof/circulation/pad/vent/ac/fog counts;BE WebSocket;Changes when simulation reconnects but 3D does not follow;Different grid (L/2 vs 1.25m step) different physics no humidity/VPD/uniformity;P0;Unify with FE pipeline or delete BE matrix from contract
SYS-03;architecture;frontend vs backend;FE_BE_divergence;alignment;Always;N/A;Two independent spatial models exist. Frontend is what user sees.;FE: perturbation-based on solveMicroclimate mean. BE: analytic radial+transit.;FE GRID_STEP_M=1.25 BE rows=L/2;Same equipment enums different formulas;User sees FE only;floor+walls vs floor only;FE conserves floor mean BE does not;FE adaptive BE N/A;Different;Different;Different;FE primary BE orphan;Increasing fans changes FE jet corridors but not BE overlay;SYS-02 audit flag still open;P0;Single engine per THERMAL_EQUIPMENT_AUDIT SYS-01
UI-01;ui_store;frontend/src/store/useGreenhouseStore.ts;heatmapMode;state;Default off;Heatmap toolbar buttons;Selects display mode: off|temperature|humidity|vpd|uniformity.;setHeatmapMode clamps to off if cooling=none;Default heatmapMode=off;N/A;HeatmapMode enum;N/A;N/A;N/A;Requires cooling!=none for non-off modes;N/A;N/A;N/A;Zustand;Mode switch instant shader remount via revision key;Heating-only greenhouse cannot use heatmap even if heating active;P2;Consider allowing heatmap for heating-only passive analysis
UI-02;ui_store;frontend/src/store/useGreenhouseStore.ts;setClimateEquipment;state;cooling changes to none;Cooling system dropdown;Auto-disables heatmap when user selects cooling=none.;if !isHeatmapAvailable(nextCooling) then heatmapMode=off;isHeatmapAvailable: cooling!==none;climateEquipment.cooling;heatmapMode forced off;N/A;N/A;N/A;none disables all;N/A;N/A;Store;Switching fan_and_pad->none instantly hides overlay;May surprise user mid-analysis;P3;Show toast when heatmap auto-disabled
UI-03;ui_controls;frontend/src/components/ui/HeatmapControls.tsx;HeatmapControls;ui;Panel always visible;All climate+heatmap sliders;Toolbar + weather/solar sliders + legend. Modes disabled when cooling=none.;resolveHeatmapField on every dependency change;External temp 5-50C RH 20-95% wind 0-12;scenario + equipment + geometry;Visual legend summary;N/A;computeHeatmapVisualRange on floor;Requires active cooling;N/A;N/A;FE;Each slider moves legend range and colors live;Recomputes entire field per slider tick (perf);P3;Debounce or memoize resolveHeatmapField
UI-04;ui_controls;frontend/src/components/ui/HeatmapControls.tsx;isLive badge;ui;heatmapMode!=off;WS connection + heatmap_matrix;Shows live hint when WS connected AND matrix present.;isLive = matrix.length>0 && status===connected;N/A;simulationResults simulationStatus;Hint text only;N/A;N/A;N/A;N/A;N/A;WS flag only;Connecting WS does not change colors;Misleading — data source never switches;P1;Remove live badge or wire BE matrix
REV-01;cache;frontend/src/lib/heatmapRevision.ts;heatmapInputRevision;revision;Always;40+ pipe-delimited fields;Forces React remount of heatmap meshes when physical inputs change.;join dimensions structure equipment sizing crop covering shading scenario;Omits: rated kW COP SHR leakageACH pipeRowCount heater types;listed fields;string token;N/A;N/A;N/A;cooling heating ventilation in token;counts+diameters not all rated capacities;FE;Any listed field change rebuilds textures;Rated capacity fields may not bust cache;P2;Add RATED_CAPACITY_DEFAULTS fields to revision
GATE-01;gate;frontend/src/lib/heatmapInfluence.ts;isHeatmapAvailable;gate;Always;cooling dropdown;Heatmap only available when cooling system is not none.;return cooling !== none;N/A;cooling enum;boolean;N/A;N/A;N/A;none blocks all modes;N/A;N/A;FE;Selecting none locks toolbar;Passive/natural-only greenhouse has no spatial view;P2;Document or allow passive mode with reduced physics
SOLVE-01;global_anchor;frontend/src/lib/thermal/solveMicroclimate.ts;solveMicroclimate;global_mean;Always (preview);scenario covering shading equipment dimensions crop;Provides conserved mean internalTemp internalRh qSolar mixingEffectiveness supply states for spatial layer.;Steady-state balance: solar 260W/m2 proxy + cooling deltas + ventilation + heating;COOLING_DELTA fan_and_pad -6 evaporative -4.5 AC -10 fog -5;HEATING_SETPOINT_C=22 AC_FLOOR=12;scenario equipment crop covering;internalTemp internalRh qSolar mixEff supplyTempC supplyHumidityRatioKgKg;N/A (scalar anchor);N/A;Estimated marker on legend;Per cooling mode tables;Heating W/m2 tables VENT_ACH_BASE;Rated flows via capacity factors;FE preview;External temp slider shifts baseTemp and all perturbations proportionally;Global cooling deltas are fixed not flow-based;P1;Align global solve with THERMAL_EQUIPMENT_AUDIT flow model
SOLVE-02;global_anchor;frontend/src/lib/thermal/solveMicroclimate.ts;resolveSupplyState;supply;Pad/evap/AC active;cooling mode + external conditions;Sets supplyTempC and supplyHumidityRatioKgKg for pad plumes and AC.;Pad: padOutletState wet-bulb. AC: max(ext+4 int-8). Heating does NOT set supply.;pad efficiency from ratedCapacities;T_out RH_out equipment sizing;supplyTempC supplyHumidityRatioKgKg;Pad wall + AC diffusers;N/A;N/A;fan_and_pad evaporative mechanical_ac;N/A;pad area fan flow;FE;Pad outlet changes with external RH/temp;Heating modes leave supplyTempC null breaking heater spatial effect;P1;Populate heating supply temp when heating active
PIPE-01;pipeline;frontend/src/lib/equipmentAwareHeatmap.ts;buildHeatmapFieldContext;context;cooling!=none;All greenhouse state + preview scalars;Assembles HeatmapFieldContext: layout positions + base climate + coeffs.;computeClimateEquipmentLayout + halfL halfW;heatingActive = heating!=none AND 22-baseTemp>0.5;mixingEffectiveness default 0.25;dimensions structure equipment crop preview;HeatmapFieldContext;N/A;N/A;All;heating flag;All equipment positions;FE;Fan count change updates layout.circulationFans positions;mixingEffectiveness default 0.25 if preview missing;P2;Always pass preview mixingEffectiveness
PIPE-02;pipeline;frontend/src/lib/equipmentAwareHeatmap.ts;generateVisibleSurfaceHeatmaps;generation;cooling!=none;revision token;Full visible pipeline: floor -> raw walls -> anchor -> HAF mix.;floor=generateSurface(conserved); walls=generate(no conserve)->anchor->mix;GRID_STEP_M=1.25 GRID_MIN=8 GRID_MAX=24;ctx;Record<5 surfaces>;floor+4 walls;Floor conserved walls anchored not re-conserved after mix;Floor only for legend;All;All;All;FE;Single call produces all 5 surfaces synchronously;Roof generated in generateAllSurfaceHeatmaps but never shown;P3;Remove or render roof surface
GRID-01;grid;frontend/src/lib/equipmentAwareHeatmap.ts;gridSize / fillHorizontalGrid;grid;Horizontal surfaces;dimensions.length width;Grid resolution clamp(round(span/1.25) 8..24). Floor samples y=0.2m.;row index -> X (-halfL to +halfL); col index -> Z (-halfW to +halfW);GRID_STEP_M=1.25;length width;temperature[][] humidity[][] per surface;floor roof(not visible);applyConservationToGrid on floor;N/A;N/A;N/A;N/A;FE;60m greenhouse -> 48 cells along length (capped 24);24 cell cap may blur fine fan jets;P2;Scale grid max with greenhouse size option
GRID-02;grid;frontend/src/lib/equipmentAwareHeatmap.ts;generateSurfaceHeatmap walls;grid;Wall surfaces;dimensions + eaveHeight;Wall grid: row=horizontal span col=Y(0..eave). West/East row=Z North/South row=X.;wall inset 0.05m from envelope;computeSpatialPerturbation per cell;wall rows=gridSize(span) cols=gridSize(eaveHeight);ctx surface kind;wall matrices;4 walls;No conservation on raw walls;N/A;All;All;All;FE;Taller eave adds vertical resolution;Raw walls can diverge from floor before anchor;P3;Expected — fixed by WAL-ANCHOR
