id;element;category;activation;layout_3d_position;layout_spatial_extent;global_thermal_effect;global_thermal_formula;global_thermal_inputs;heatmap_effect;heatmap_formula;heatmap_sigma_shape;heatmap_surfaces;heatmap_spatial_coverage;max_local_delta;fe_be_aligned;review_flags
ENV-01;Envelope conduction;Passive envelope;Always;N/A (whole structure);Roof + sidewalls + gables + floor;Sensible heat transfer through each envelope component;Q_cond = SUM[U_i*A_i*(T_out-T_in)];roofU wallU gableU floorU roofArea wallArea gableArea floorArea T_out T_in;"No independent local cooling/heating; global solve provides baseline";T_local += spatialEnvelopeCorrection only if separate surface temperatures are modeled;N/A;floor roof walls;"Baseline effect; optional surface-temperature gradients";Model-derived;Yes;"CORRECTED: separate envelope components; do not use single floor-normalized conductance as final physical model"
ENV-02;Mechanical ventilation airflow;Ventilation;forced_exhaust OR combined OR fan_and_pad;N/A;Whole air volume;"Sensible and moisture exchange from measured/rated airflow; ACH is derived, never preset";"ACH = Vdot_m3h/greenhouseVolume_m3; Q_vent_s = rhoAir*cpAir*(Vdot_m3h/3600)*(T_out-T_in)";fanFlowM3h fanCount fanCurveFactor screenPressureDropFactor greenhouseVolume T_out T_in outdoorHumidityRatio indoorHumidityRatio;Heatmap shows direction and local outdoor-air influence, not fixed cooling;"T_local = T_global + outdoorAirInfluence*(T_out-T_global); w_local = w_global + outdoorAirInfluence*(w_out-w_global)";Air-jet/plume width from fan/inlet geometry and throw;floor roof walls;From inlet to exhaust following airflow path;Bounded by difference between outdoor and global indoor state;Yes;REPLACED ACH presets. Fan diameter alone is not a capacity model.
ENV-03;Natural wind-driven ventilation;Ventilation;natural_ridge OR natural_gable OR roof_vents OR side_vents OR combined;Openings;Whole volume via vents;Outdoor-air exchange computed from wind pressure and effective opening area;"Vdot_wind = Cd*Aeff*windSpeed*sqrt(Cw); combine with stack flow using sqrt(Vdot_wind^2+Vdot_stack^2)";Cd Aeff windSpeed windDirection pressureCoefficient screenPressureDropFactor;Local outdoor-air influence strongest near windward openings and exhaust path;influence proportional to local opening flow / total flow;Opening dimensions and airflow throw;floor roof walls;Windward openings to leeward/roof outlets;Bounded by T_out-T_global and w_out-w_global;Yes;REPLACED ACH += wind*0.3
ENV-04;Natural stack/buoyancy ventilation;Ventilation;natural_ridge OR natural_gable OR roof_vents OR combined;Low + high openings;Whole volume via vents;Buoyancy-driven outdoor-air exchange;Vdot_stack = Cd*Aeff*sqrt(2*g*H*abs(T_inK-T_outK)/T_inK);Cd Aeff verticalOpeningSeparationM T_in T_out screenPressureDropFactor;Vertical flow bias toward roof/ridge outlet;"influence follows stack-flow path; no fixed delta T";Opening geometry;floor roof walls;Lower inlets to upper ridge/roof vents;Bounded by T_out-T_global;Yes;REPLACED fixed +0.5 ACH
ENV-05;Infiltration/leakage;Ventilation;Always;N/A;Whole volume;Uncontrolled sensible and moisture exchange;"Vdot_infil = leakageACH*volume/3600; Q_infil_s = rhoAir*cpAir*Vdot_infil*(T_out-T_in)";leakageACH greenhouseVolume T_out T_in w_out w_in;Uniform baseline only unless leakage locations are explicitly modeled;Handled in global solve;N/A;floor roof walls;Uniform baseline;Model-derived;Yes;ADDED: required even when vents/fans are off
SOL-01;Solar gain global;Solar/climate;Daylight;N/A;Glazing/cover projected surfaces and crop/floor absorption;Adds transmitted shortwave energy using real irradiance, not a fixed 260 W/m2 proxy;Q_solar = SUM[(DNI*cosAOI + DHI*Fsky + groundReflected)*A_surface*tau_surface*shadeFactor];DNI DHI GHI solarAzimuth solarElevation geometry orientation transmittance shadeScreenFactor coverSoilingFactor;Provides solar field energy budget for spatial distribution;Local solar contributions are normalized so their area-weighted sum equals Q_solar;Sun-direction projection by surface/canopy exposure;floor roof walls;Sunward and unshaded zones receive larger share;"Energy-conserving; no arbitrary +/- temperature amplitude";Yes;CORRECTED: remove fixed 260 W/m2 and duplicated 0.72 factor unless explicitly defined as optical property
SOL-02;Solar field spatial distribution;Solar/climate;Q_solar > 0;N/A;Whole interior;No extra energy beyond SOL-01;SUM(Q_solar_local*cellArea) = Q_solar;solarAzimuth solarElevation geometry shading equipment/crop masks;Redistributes SOL-01 spatially;"q_local = Q_solar * normalizedSolarWeight / area; temperature response comes from zone heat capacity/air exchange, not direct delta T";Directional raster / projected shadow field;floor roof walls;Directional sun patches and structural shadows;Model-derived;Yes;CORRECTED: spatial model must conserve SOL-01 energy and must not create additional heat
TRP-01;Crop transpiration latent load;Crop/biology;Crop present;Crop canopy;Crop zone;Removes sensible-equivalent energy from canopy/air while adding water vapor;"Q_lat_crop = mDot_ET*lambda; mDot_ET = ET_mm_h*cropArea/3600; moistureSource = mDot_ET";ET0 Kc LAI cropArea cropStage VPD radiation stomatal/canopyFactor lambda;Canopy zones become cooler and more humid according to local ET share;"Distribute Q_lat_crop and moistureSource by canopy density; solve T and humidity ratio dynamically";Canopy footprint smoothing;floor walls;Crop footprint/canopy zone;"Model-derived; limited by available radiation and physiological ET model";Yes;"KEEP with correction: solve moisture balance explicitly; avoid double-counting solar-to-latent conversion"
TRP-02;Crop/substrate effective thermal mass;Crop/substrate;Always;Crop/floor;Whole conditioned volume / substrate zones;Changes response rate, not steady-state temperature directly;"T_next = T_now + (Q_net/C_effective)*dt; C_effective = C_air + C_structure + C_water + C_substrate + C_crop";airMass structureMass waterMass substrateMass specificHeats dt;Damps and delays spatial temperature changes;Each zone uses local C_effective and local Q_net;Zone based;floor roof walls;Whole greenhouse with larger inertia near wet substrate/tanks;Model-derived;Yes;REPLACED direct division of delta T by thermalMass
EQP-01;Internal electrical heat gains;Equipment heat;When equipment powered inside greenhouse;At motor/pump/light/controller positions;Local + global;Electrical power consumed inside greenhouse becomes sensible heat except exported work/heat;Q_equipment = SUM(P_electric_inside * heatFraction);HAFPower pumpsInsidePower lightingPower controlCabinetPower otherInternalLoads heatFraction;Localized warm spots around motors/drives/lights;"Distribute each equipment heat source; area-weighted sum equals Q_equipment";Gaussian/jet by equipment type;floor roof walls;Near powered equipment;Energy-conserving;Yes;ADDED: important when many HAF motors/pumps/lights operate
FAN-01;Wall exhaust fans;Exhaust;forced_exhaust OR combined OR fan_and_pad;Exhaust wall;Fan capture zone + whole-house flow;Do not apply intrinsic cooling. Fans create airflow used by ENV-02;Vdot_total = SUM(fanRatedFlowM3h * fanCurveFactor * screenPressureDropFactor * runtimeFraction);fanRatedFlowM3h fanCount fanCurve/systemCurve pressureDrop screen factor runtime;Creates velocity/mixing/extraction field only;"outdoor-air temperature/humidity influence follows calculated airflow; no temp -= constant";Fan/inlet jet geometry;floor roof walls;Whole length from inlet to exhaust;Bounded by physical outdoor/indoor state difference;Yes;CORRECTED: remove -4.2 C local cooling and area-based ACH boost
FAN-02;Roof/gable exhaust fans;Exhaust;roofExhaustFanCount > 0;Upper gable/roof;Upper extraction zone + whole-house flow;Same airflow physics as FAN-01;Vdot_total += SUM(ratedFlow*curveFactor*pressureDropFactor*runtime);roofFanRatedFlowM3h fanCount fanCurve/systemCurve pressureDrop;Upper extraction/mixing field only;"No fixed temperature decrement; use calculated air replacement";Fan jet/capture zone;roof walls floor;Upper gable/roof extraction path;Bounded by physical state difference;Yes;CORRECTED: remove -2.8 C local cooling
